category,video_id,video_path,input_frames_path,target_frame_path,template,label,placeholders,resolution
move_object,35966,extracted_videos/20bn-something-something-v2/35966.webm,processed_data_256/frames/move_object/35966_input.npy,processed_data_256/frames/move_object/35966_target.npy,Moving away from [something] with your camera,moving away from car with your camera,['car'],256x256
move_object,133802,extracted_videos/20bn-something-something-v2/133802.webm,processed_data_256/frames/move_object/133802_input.npy,processed_data_256/frames/move_object/133802_target.npy,Pushing [something] from left to right,pushing scissors from left to right,['scissors'],256x256
move_object,119659,extracted_videos/20bn-something-something-v2/119659.webm,processed_data_256/frames/move_object/119659_input.npy,processed_data_256/frames/move_object/119659_target.npy,Moving [part] of [something],moving cover of novel,"['cover', 'novel']",256x256
move_object,73594,extracted_videos/20bn-something-something-v2/73594.webm,processed_data_256/frames/move_object/73594_input.npy,processed_data_256/frames/move_object/73594_target.npy,Pushing [something] so that it slightly moves,pushing cap so that it slightly moves,['cap'],256x256
move_object,84682,extracted_videos/20bn-something-something-v2/84682.webm,processed_data_256/frames/move_object/84682_input.npy,processed_data_256/frames/move_object/84682_target.npy,Touching (without moving) [part] of [something],touching (without moving) starter of bullet,"['starter', 'bullet']",256x256
move_object,107627,extracted_videos/20bn-something-something-v2/107627.webm,processed_data_256/frames/move_object/107627_input.npy,processed_data_256/frames/move_object/107627_target.npy,Pushing [something] from right to left,pushing masking tape from right to left,['masking tape'],256x256
move_object,177424,extracted_videos/20bn-something-something-v2/177424.webm,processed_data_256/frames/move_object/177424_input.npy,processed_data_256/frames/move_object/177424_target.npy,Moving [something] and [something] so they collide with each other,moving bowl and pan so they collide with each other,"['bowl', 'pan']",256x256
move_object,8014,extracted_videos/20bn-something-something-v2/8014.webm,processed_data_256/frames/move_object/8014_input.npy,processed_data_256/frames/move_object/8014_target.npy,Pushing [something] from right to left,pushing color pencils from right to left,['color pencils'],256x256
move_object,199823,extracted_videos/20bn-something-something-v2/199823.webm,processed_data_256/frames/move_object/199823_input.npy,processed_data_256/frames/move_object/199823_target.npy,Moving [something] up,moving scissors up,['scissors'],256x256
move_object,196013,extracted_videos/20bn-something-something-v2/196013.webm,processed_data_256/frames/move_object/196013_input.npy,processed_data_256/frames/move_object/196013_target.npy,Moving [something] away from [something],moving a puzzle piece away from a cell phone battery,"['a puzzle piece', 'a cell phone battery']",256x256
move_object,80195,extracted_videos/20bn-something-something-v2/80195.webm,processed_data_256/frames/move_object/80195_input.npy,processed_data_256/frames/move_object/80195_target.npy,Pushing [something] so that it falls off the table,pushing bottle cap so that it falls off the table,['bottle cap'],256x256
move_object,122898,extracted_videos/20bn-something-something-v2/122898.webm,processed_data_256/frames/move_object/122898_input.npy,processed_data_256/frames/move_object/122898_target.npy,Moving [something] towards the camera,moving duck toy towards the camera,['duck toy'],256x256
move_object,9200,extracted_videos/20bn-something-something-v2/9200.webm,processed_data_256/frames/move_object/9200_input.npy,processed_data_256/frames/move_object/9200_target.npy,"Removing [something], revealing [something] behind","removing maaza fruit drink, revealing calculator behind","['maaza fruit drink', 'calculator']",256x256
move_object,71235,extracted_videos/20bn-something-something-v2/71235.webm,processed_data_256/frames/move_object/71235_input.npy,processed_data_256/frames/move_object/71235_target.npy,Pushing [something] so that it slightly moves,pushing receipt so that it slightly moves,['receipt'],256x256
move_object,88199,extracted_videos/20bn-something-something-v2/88199.webm,processed_data_256/frames/move_object/88199_input.npy,processed_data_256/frames/move_object/88199_target.npy,Moving [something] across a surface without it falling down,moving a charger across a surface without it falling down,['a charger'],256x256
move_object,31303,extracted_videos/20bn-something-something-v2/31303.webm,processed_data_256/frames/move_object/31303_input.npy,processed_data_256/frames/move_object/31303_target.npy,Touching (without moving) [part] of [something],touching (without moving) handle of door,"['handle', 'door']",256x256
move_object,105596,extracted_videos/20bn-something-something-v2/105596.webm,processed_data_256/frames/move_object/105596_input.npy,processed_data_256/frames/move_object/105596_target.npy,Pushing [something] from right to left,pushing cigarette box from right to left,['cigarette box'],256x256
move_object,39185,extracted_videos/20bn-something-something-v2/39185.webm,processed_data_256/frames/move_object/39185_input.npy,processed_data_256/frames/move_object/39185_target.npy,Pulling two ends of [something] so that it gets stretched,pulling two ends of balloon so that it gets stretched,['balloon'],256x256
move_object,3760,extracted_videos/20bn-something-something-v2/3760.webm,processed_data_256/frames/move_object/3760_input.npy,processed_data_256/frames/move_object/3760_target.npy,Moving [something] and [something] so they pass each other,moving a matrioska and a box so they pass each other,"['a matrioska', 'a box']",256x256
move_object,56838,extracted_videos/20bn-something-something-v2/56838.webm,processed_data_256/frames/move_object/56838_input.npy,processed_data_256/frames/move_object/56838_target.npy,Pushing [something] so that it slightly moves,pushing starter pack indosat case so that it slightly moves,['starter pack indosat case'],256x256
move_object,63473,extracted_videos/20bn-something-something-v2/63473.webm,processed_data_256/frames/move_object/63473_input.npy,processed_data_256/frames/move_object/63473_target.npy,Pushing [something] with [something],pushing door with hand,"['door', 'hand']",256x256
move_object,68543,extracted_videos/20bn-something-something-v2/68543.webm,processed_data_256/frames/move_object/68543_input.npy,processed_data_256/frames/move_object/68543_target.npy,Pulling [something] from left to right,pulling scarf from left to right,['scarf'],256x256
move_object,64156,extracted_videos/20bn-something-something-v2/64156.webm,processed_data_256/frames/move_object/64156_input.npy,processed_data_256/frames/move_object/64156_target.npy,Pushing [something] from left to right,pushing bracelet from left to right,['bracelet'],256x256
move_object,216867,extracted_videos/20bn-something-something-v2/216867.webm,processed_data_256/frames/move_object/216867_input.npy,processed_data_256/frames/move_object/216867_target.npy,Pushing [something] from right to left,pushing rubber band from right to left,['rubber band'],256x256
move_object,24544,extracted_videos/20bn-something-something-v2/24544.webm,processed_data_256/frames/move_object/24544_input.npy,processed_data_256/frames/move_object/24544_target.npy,Moving [something] closer to [something],moving spoon closer to spoon,"['spoon', 'spoon']",256x256
move_object,169781,extracted_videos/20bn-something-something-v2/169781.webm,processed_data_256/frames/move_object/169781_input.npy,processed_data_256/frames/move_object/169781_target.npy,Moving [something] and [something] closer to each other,moving stool and stool closer to each other,"['stool', 'stool']",256x256
move_object,69872,extracted_videos/20bn-something-something-v2/69872.webm,processed_data_256/frames/move_object/69872_input.npy,processed_data_256/frames/move_object/69872_target.npy,Moving [something] across a surface until it falls down,moving lid across a surface until it falls down,['lid'],256x256
move_object,167884,extracted_videos/20bn-something-something-v2/167884.webm,processed_data_256/frames/move_object/167884_input.npy,processed_data_256/frames/move_object/167884_target.npy,Pushing [something] from left to right,pushing pendrive from left to right,['pendrive'],256x256
move_object,116718,extracted_videos/20bn-something-something-v2/116718.webm,processed_data_256/frames/move_object/116718_input.npy,processed_data_256/frames/move_object/116718_target.npy,Pushing [something] so that it falls off the table,pushing fish pot so that it falls off the table,['fish pot'],256x256
move_object,84420,extracted_videos/20bn-something-something-v2/84420.webm,processed_data_256/frames/move_object/84420_input.npy,processed_data_256/frames/move_object/84420_target.npy,Pulling [something] from left to right,pulling container from left to right,['container'],256x256
move_object,131841,extracted_videos/20bn-something-something-v2/131841.webm,processed_data_256/frames/move_object/131841_input.npy,processed_data_256/frames/move_object/131841_target.npy,Moving [something] across a surface without it falling down,moving brush across a surface without it falling down,['brush'],256x256
move_object,153422,extracted_videos/20bn-something-something-v2/153422.webm,processed_data_256/frames/move_object/153422_input.npy,processed_data_256/frames/move_object/153422_target.npy,Pushing [something] from left to right,pushing knife from left to right,['knife'],256x256
move_object,118087,extracted_videos/20bn-something-something-v2/118087.webm,processed_data_256/frames/move_object/118087_input.npy,processed_data_256/frames/move_object/118087_target.npy,Pulling [something] from behind of [something],pulling 7up bottle from behind of brandy bottle,"['7up bottle', 'brandy bottle']",256x256
move_object,87735,extracted_videos/20bn-something-something-v2/87735.webm,processed_data_256/frames/move_object/87735_input.npy,processed_data_256/frames/move_object/87735_target.npy,Moving [something] down,moving color pencils down,['color pencils'],256x256
move_object,97365,extracted_videos/20bn-something-something-v2/97365.webm,processed_data_256/frames/move_object/97365_input.npy,processed_data_256/frames/move_object/97365_target.npy,Moving [something] up,moving debit card up,['debit card'],256x256
