nohup: ignoring input
/home/zhangzhikui/enter/envs/dl/lib/python3.10/site-packages/torch/cuda/__init__.py:827: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
`torch_dtype` is deprecated! Use `dtype` instead!
⚠️  无法导入cldm: No module named 'cldm'
============================================================
🎯 ControlNet 1.1 多任务分别训练（动态条件缩放）
📊 任务: 前20帧 → 预测第25帧
============================================================

==================================================
🚀 开始训练任务: 移动物体 (move_object)
==================================================
任务配置:
  learning_rate: 0.0001 🎯
  min_learning_rate: 1e-06
  weight_decay: 0.01 🎯
  num_epochs: 50 🎯
  batch_size: 2
  save_interval: 10
  gradient_accumulation_steps: 4
  lr_scheduler: cosine
  lr_step_size: 20
  lr_gamma: 0.5
  warmup_steps: 500
  grad_clip: 1.0
  conditioning_strategy: adaptive 🎯
  initial_conditioning_scale: 0.2 🎯
  final_conditioning_scale: 1.0 🎯
  adaptive_threshold: 0.15
  scale_step: 0.05
  gtad_clip: 0.5 🎯
  output_dir: training_results_move_object
  task_name: move_object

📊 加载 移动物体 数据...
   筛选任务 'move_object': 2014/6000 个样本
✅ 加载数据集 (move_object): 2014 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   move_object: 2014 个样本
   筛选任务 'move_object': 236/750 个样本
✅ 加载数据集 (move_object): 236 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   move_object: 236 个样本
   筛选任务 'move_object': 250/750 个样本
✅ 加载数据集 (move_object): 250 个样本
   帧设置: 输入前20帧 → 预测第25帧（跳过4帧）
   move_object: 250 个样本
✅ 创建任务 'move_object' 数据加载器完成
   训练集: 2014 个样本, 1007 个批次
   验证集: 236 个样本, 118 个批次
   测试集: 250 个样本, 125 个批次
   批次大小: 2
✅ 数据加载成功
   训练集: 2014 样本
   验证集: 236 样本
   测试集: 250 样本 - 保留用于最终评估
🚀 使用设备: cuda
🎯 任务: move_object - 前20帧 → 预测第25帧
🎯 动态条件缩放策略: adaptive
   初始缩放: 0.2 → 最终缩放: 1.0
📦 初始化模型（内存优化版）...
✅ 使用diffusers ControlNet
初始化增强时序特征提取器...
✅ 模型初始化完成
   ControlNet参数: 361,279,120 可训练 / 361,279,120 总计
✅ 优化器设置完成
🚀 开始训练循环...
📊 仅使用训练集和验证集，测试集保留用于最终评估

=== Epoch 1/50 ===
/data/zhangzhikui/githubbase/DL/FinalProject/train.py:420: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.cuda.amp.autocast():
  Epoch 1, Batch 0, Loss: 0.4343, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 10, Loss: 0.0267, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 20, Loss: 0.3350, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 30, Loss: 0.0971, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 40, Loss: 0.1710, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 50, Loss: 0.0860, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 60, Loss: 0.0247, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 70, Loss: 0.3723, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 80, Loss: 0.0755, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 90, Loss: 0.3950, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 100, Loss: 0.0082, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 110, Loss: 0.0349, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 120, Loss: 0.0823, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 130, Loss: 0.2329, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 140, Loss: 0.1677, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 150, Loss: 0.8050, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 160, Loss: 0.2100, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 170, Loss: 0.0887, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 180, Loss: 0.2273, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 190, Loss: 0.0678, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 200, Loss: 0.0259, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 210, Loss: 0.2934, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 220, Loss: 0.1773, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 230, Loss: 0.0950, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 240, Loss: 0.4087, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 250, Loss: 0.5549, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 260, Loss: 0.0917, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 270, Loss: 0.1030, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 280, Loss: 0.0746, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 290, Loss: 0.3260, LR: 1.00e-04, Scale: 0.200
  Epoch 1, Batch 300, Loss: 0.1339, LR: 1.00e-04, Scale: 0.200
